timestamp,id,evento,personas a adivinar,usuarie,estado,texto ingresado,respuesta,nivel
1655385908,0836456b142440fcb420550455e0b7df,inicio_partida,10,Josu,-,-,-,Fácil
1655385908,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,-,Sami Al Najai,Fácil
1655385910,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,Alfredo Donnarumma,Sami Al Najai,Fácil
1655385911,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,Nils Petersen,Sami Al Najai,Fácil
1655385912,0836456b142440fcb420550455e0b7df,intento,10,Josu,ok,Sami Al Najai,Kalidou Sidibé,Fácil
1655385913,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,-,Edu Selneira,Fácil
1655385914,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,Takashi Inui,Edu Selneira,Fácil
1655385914,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,-,Vlad Chiriche?,Fácil
1655385915,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,Aaron Leya Iseka,Vlad Chiriche?,Fácil
1655385916,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,Ariel Borysiuk,Vlad Chiriche?,Fácil
1655385916,0836456b142440fcb420550455e0b7df,intento,10,Josu,error,-,Terell Thomas,Fácil
1655385917,0836456b142440fcb420550455e0b7df,fin,10,Josu,finalizada,-,-,Fácil
1655385921,ae4d4634d65e46d6a006644bb40dab41,inicio_partida,10,Josu,-,-,-,Difícil
1655385923,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,ok,Ashley Young,Sambou Sissoko,Difícil
1655385924,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,Christian Beck,Sambou Sissoko,Difícil
1655385925,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,Tan Long,Sambou Sissoko,Difícil
1655385925,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,-,Sofiane Boufal,Difícil
1655385926,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,Callan Elliot,Sofiane Boufal,Difícil
1655385927,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,-,Simone Missiroli,Difícil
1655385928,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,Anders Randrup,Simone Missiroli,Difícil
1655385928,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,-,Andrea Beghetto,Difícil
1655385930,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,ok,Andrea Beghetto,Mickaël Facchinetti,Difícil
1655385931,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,Florin Ni?a,Mickaël Facchinetti,Difícil
1655385931,ae4d4634d65e46d6a006644bb40dab41,intento,10,Josu,error,-,Fabiem Jardim,Difícil
1655385932,ae4d4634d65e46d6a006644bb40dab41,fin,10,Josu,finalizada,-,-,Difícil
